Year,Month,Anomaly
1849,7,0.716
1849,8,0.643
1849,9,-1.163
1849,10,-1.668
1849,11,-1.854
1849,12,-2.498
1850,1,-1.681
1850,2,-1.890
1850,3,-1.887
1850,4,0.024
1850,5,-0.471
1850,6,-0.888
1850,7,-1.141
1850,8,0.661
1850,9,-0.481
1850,10,-0.595
1850,11,-2.002
1850,12,-2.892
1851,1,-0.786
1851,2,-1.901
1851,3,-0.342
1851,4,0.907
1851,5,-0.335
1851,6,0.508
1851,7,-0.969
1851,8,0.434
1851,9,-0.852
1851,10,-0.444
1851,11,-0.981
1851,12,-1.036
1852,1,-0.870
1852,2,-0.474
1852,3,-1.674
1852,4,-1.396
1852,5,-0.320
1852,6,0.611
1852,7,-0.200
1852,8,-1.206
1852,9,-0.903
1852,10,-2.372
1852,11,-1.299
1852,12,-0.787
1853,1,-1.070
1853,2,-1.598
1853,3,0.608
1853,4,1.227
1853,5,0.814
1853,6,1.143
1853,7,0.240
1853,8,-1.380
1853,9,-0.698
1853,10,-0.558
1853,11,-0.281
1853,12,0.128
1854,1,-1.654
1854,2,-1.297
1854,3,-0.196
1854,4,1.469
1854,5,-1.278
1854,6,-1.357
1854,7,1.311
1854,8,-1.406
1854,9,-2.709
1854,10,-1.513
1854,11,0.127
1854,12,-0.073
1855,1,-1.139
1855,2,0.377
1855,3,1.153
1855,4,0.613
1855,5,-0.759
1855,6,0.755
1855,7,-1.086
1855,8,-0.430
1855,9,-1.676
1855,10,-0.328
1855,11,-1.981
1855,12,-2.058
1856,1,-0.553
1856,2,-0.380
1856,3,1.429
1856,4,0.617
1856,5,-0.179
1856,6,1.002
1856,7,-0.008
1856,8,-0.968
1856,9,-1.205
1856,10,-3.169
1856,11,-1.624
1856,12,-2.611
1857,1,0.102
1857,2,-0.865
1857,3,1.579
1857,4,2.216
1857,5,0.575
1857,6,0.907
1857,7,-1.731
1857,8,-0.606
1857,9,-1.584
1857,10,-1.073
1857,11,-0.651
1857,12,-0.011
1858,1,-1.120
1858,2,-0.178
1858,3,-0.349
1858,4,0.302
1858,5,0.583
1858,6,0.229
1858,7,-1.399
1858,8,-1.487
1858,9,-0.686
1858,10,-1.954
1858,11,-0.430
1858,12,-2.312
1859,1,-1.271
1859,2,-1.126
1859,3,-1.880
1859,4,-1.334
1859,5,-0.443
1859,6,1.637
1859,7,-1.774
1859,8,-2.237
1859,9,-2.359
1859,10,-0.604
1859,11,-0.544
1859,12,-1.974
1860,1,-0.839
1860,2,-1.283
1860,3,0.044
1860,4,0.090
1860,5,-1.613
1860,6,-1.461
1860,7,-0.955
1860,8,-0.332
1860,9,-1.036
1860,10,-1.408
1860,11,-0.707
1860,12,0.387
1861,1,-0.555
1861,2,0.201
1861,3,0.711
1861,4,1.644
1861,5,0.515
1861,6,-0.282
1861,7,-0.053
1861,8,-1.147
1861,9,-1.044
1861,10,-1.216
1861,11,-0.104
1861,12,1.884
1862,1,-0.209
1862,2,-2.564
1862,3,-0.246
1862,4,-0.476
1862,5,-0.636
1862,6,0.290
1862,7,-0.285
1862,8,0.082
1862,9,-0.235
1862,10,0.887
1862,11,-0.326
1862,12,-0.875
1863,1,-0.767
1863,2,-2.074
1863,3,1.281
1863,4,1.322
1863,5,1.391
1863,6,0.197
1863,7,-0.267
1863,8,-1.331
1863,9,-0.337
1863,10,-0.484
1863,11,-1.322
1863,12,-0.400
1864,1,1.115
1864,2,0.442
1864,3,0.861
1864,4,1.858
1864,5,1.954
1864,6,0.148
1864,7,-0.886
1864,8,0.058
1864,9,-0.903
1864,10,-0.731
1864,11,-0.874
1864,12,0.223
1865,1,-0.271
1865,2,-2.109
1865,3,-0.868
1865,4,-0.407
1865,5,2.731
1865,6,0.649
1865,7,-1.234
1865,8,-0.560
1865,9,-1.128
1865,10,-1.017
1865,11,0.631
1865,12,-3.047
1866,1,-0.745
1866,2,0.240
1866,3,0.737
1866,4,1.218
1866,5,-0.555
1866,6,-0.145
1866,7,-0.960
1866,8,-0.542
1866,9,-0.237
1866,10,-0.833
1866,11,0.268
1866,12,1.775
1867,1,0.383
1867,2,-1.909
1867,3,-2.435
1867,4,1.236
1867,5,1.175
1867,6,0.883
1867,7,-0.019
1867,8,0.761
1867,9,-0.325
1867,10,-0.925
1867,11,0.857
1867,12,2.297
1868,1,-2.076
1868,2,-1.012
1868,3,0.486
1868,4,0.890
1868,5,-0.876
1868,6,-1.344
1868,7,-1.137
1868,8,-0.438
1868,9,-1.139
1868,10,-0.283
1868,11,0.029
1868,12,0.501
1869,1,0.093
1869,2,-0.831
1869,3,1.034
1869,4,0.822
1869,5,0.421
1869,6,1.696
1869,7,-0.114
1869,8,-0.555
1869,9,-0.412
1869,10,-0.644
1869,11,0.452
1869,12,-1.331
1870,1,0.560
1870,2,0.234
1870,3,-1.070
1870,4,0.269
1870,5,-0.165
1870,6,-0.482
1870,7,-0.311
1870,8,-0.190
1870,9,-1.752
1870,10,-1.257
1870,11,-0.388
1870,12,-1.867
1871,1,0.283
1871,2,-1.283
1871,3,0.074
1871,4,-0.283
1871,5,-0.175
1871,6,0.782
1871,7,-0.234
1871,8,0.784
1871,9,-0.332
1871,10,-0.642
1871,11,-1.157
1871,12,1.154
1872,1,0.418
1872,2,0.550
1872,3,0.494
1872,4,-1.543
1872,5,0.495
1872,6,-0.034
1872,7,-1.497
1872,8,-0.323
1872,9,-1.271
1872,10,-0.709
1872,11,-1.696
1872,12,0.317
1873,1,1.914
1873,2,-2.172
1873,3,1.259
1873,4,-0.189
1873,5,-0.924
1873,6,-0.490
1873,7,-0.563
1873,8,-0.864
1873,9,-0.595
1873,10,-1.801
1873,11,1.143
1873,12,-1.494
1874,1,-0.751
1874,2,-1.997
1874,3,-1.845
1874,4,-0.788
1874,5,-0.006
1874,6,-0.196
1874,7,-0.317
1874,8,-1.164
1874,9,-0.598
1874,10,-1.220
1874,11,-0.952
1874,12,-0.816
1875,1,-0.634
1875,2,-0.259
1875,3,-0.980
1875,4,1.445
1875,5,1.669
1875,6,0.526
1875,7,0.187
1875,8,0.353
1875,9,-0.610
1875,10,1.693
1875,11,0.295
1875,12,1.577
1876,1,-1.152
1876,2,-0.230
1876,3,-0.781
1876,4,0.661
1876,5,-0.134
1876,6,1.748
1876,7,-0.969
1876,8,-1.344
1876,9,-1.067
1876,10,-0.148
1876,11,0.189
1876,12,0.583
1877,1,1.318
1877,2,1.685
1877,3,3.187
1877,4,-0.238
1877,5,-1.209
1877,6,0.549
1877,7,0.162
1877,8,-0.284
1877,9,-0.196
1877,10,-1.644
1877,11,-0.195
1877,12,0.254
1878,1,0.711
1878,2,0.039
1878,3,1.153
1878,4,0.325
1878,5,0.217
1878,6,0.710
1878,7,-0.831
1878,8,-0.017
1878,9,-1.558
1878,10,-1.235
1878,11,-0.290
1878,12,-1.105
1879,1,-1.333
1879,2,1.232
1879,3,2.509
1879,4,1.052
1879,5,-1.057
1879,6,0.323
1879,7,-0.984
1879,8,0.605
1879,9,0.175
1879,10,-1.035
1879,11,-1.583
1879,12,-1.331
1880,1,-0.953
1880,2,-3.003
1880,3,-2.413
1880,4,-1.246
1880,5,-0.438
1880,6,-0.611
1880,7,-1.042
1880,8,-1.212
1880,9,-1.101
1880,10,-1.258
1880,11,-2.588
1880,12,0.842
1881,1,0.616
1881,2,1.533
1881,3,0.809
1881,4,2.694
1881,5,1.192
1881,6,-0.307
1881,7,-0.782
1881,8,-1.290
1881,9,-1.487
1881,10,-3.066
1881,11,-1.853
1881,12,0.203
1882,1,-1.820
1882,2,-2.970
1882,3,-0.531
1882,4,-0.817
1882,5,0.427
1882,6,-0.132
1882,7,0.266
1882,8,0.333
1882,9,-1.021
1882,10,-2.304
1882,11,-1.555
1882,12,0.897
1883,1,-1.929
1883,2,-2.420
1883,3,2.375
1883,4,-0.936
1883,5,-0.329
1883,6,2.128
1883,7,0.300
1883,8,-0.090
1883,9,0.959
1883,10,-2.530
1883,11,-0.759
1883,12,-0.114
1884,1,-0.352
1884,2,-1.642
1884,3,-0.276
1884,4,-0.389
1884,5,0.356
1884,6,-1.057
1884,7,-0.821
1884,8,0.035
1884,9,-2.660
1884,10,-1.421
1884,11,0.857
1884,12,-0.233
1885,1,0.420
1885,2,1.336
1885,3,3.062
1885,4,1.830
1885,5,1.393
1885,6,-1.267
1885,7,-0.329
1885,8,0.962
1885,9,0.072
1885,10,0.570
1885,11,0.459
1885,12,1.694
1886,1,0.322
1886,2,2.364
1886,3,-0.492
1886,4,-0.088
1886,5,1.177
1886,6,1.139
1886,7,0.096
1886,8,0.805
1886,9,-0.362
1886,10,-2.429
1886,11,-1.568
1886,12,1.914
1887,1,0.850
1887,2,-3.000
1887,3,2.448
1887,4,0.356
1887,5,0.633
1887,6,0.065
1887,7,-0.789
1887,8,-1.174
1887,9,-0.620
1887,10,0.595
1887,11,0.469
1887,12,-0.481
1888,1,-2.728
1888,2,0.535
1888,3,-0.347
1888,4,2.751
1888,5,0.263
1888,6,-0.299
1888,7,-0.229
1888,8,0.621
1888,9,1.856
1888,10,0.468
1888,11,-0.011
1888,12,1.079
1889,1,-1.047
1889,2,-0.096
1889,3,2.076
1889,4,2.377
1889,5,1.006
1889,6,1.692
1889,7,0.701
1889,8,0.788
1889,9,0.294
1889,10,-0.902
1889,11,-0.144
1889,12,0.073
1890,1,-3.218
1890,2,-1.786
1890,3,-0.076
1890,4,0.818
1890,5,1.059
1890,6,-0.845
1890,7,0.224
1890,8,0.087
1890,9,-0.140
1890,10,-0.611
1890,11,1.126
1890,12,0.629
1891,1,-0.039
1891,2,-1.990
1891,3,0.182
1891,4,0.167
1891,5,-0.236
1891,6,-1.203
1891,7,0.419
1891,8,1.184
1891,9,-0.694
1891,10,0.016
1891,11,0.926
1891,12,-1.903
1892,1,0.191
1892,2,-0.108
1892,3,0.639
1892,4,-0.807
1892,5,-0.061
1892,6,-1.104
1892,7,-1.232
1892,8,0.172
1892,9,-0.385
1892,10,-1.216
1892,11,0.450
1892,12,-0.615
1893,1,0.127
1893,2,-1.556
1893,3,-1.362
1893,4,-1.430
1893,5,-0.392
1893,6,-0.464
1893,7,-0.941
1893,8,0.168
1893,9,-2.859
1893,10,-2.103
1893,11,-0.933
1893,12,0.690
1894,1,-1.748
1894,2,-3.106
1894,3,-0.635
1894,4,0.866
1894,5,0.066
1894,6,-2.518
1894,7,-0.303
1894,8,0.432
1894,9,-0.772
1894,10,-0.350
1894,11,1.570
1894,12,-0.997
1895,1,-1.152
1895,2,0.187
1895,3,-0.178
1895,4,0.582
1895,5,0.523
1895,6,0.305
1895,7,-1.161
1895,8,-0.182
1895,9,-1.619
1895,10,0.101
1895,11,-0.999
1895,12,-1.546
1896,1,1.395
1896,2,0.867
1896,3,0.855
1896,4,-2.246
1896,5,-1.122
1896,6,1.469
1896,7,0.842
1896,8,-0.020
1896,9,-1.061
1896,10,0.190
1896,11,-1.018
1896,12,1.384
1897,1,-0.203
1897,2,-1.664
1897,3,-2.744
1897,4,1.847
1897,5,2.183
1897,6,-0.272
1897,7,-0.330
1897,8,0.640
1897,9,-0.799
1897,10,-1.854
1897,11,-0.582
1897,12,-1.010
1898,1,-2.644
1898,2,0.876
1898,3,-1.221
1898,4,2.432
1898,5,-1.040
1898,6,0.359
1898,7,0.125
1898,8,1.077
1898,9,-0.167
1898,10,-0.752
1898,11,-0.809
1898,12,-1.226
1899,1,0.768
1899,2,-0.531
1899,3,-0.185
1899,4,0.907
1899,5,-2.132
1899,6,0.277
1899,7,-0.219
1899,8,-2.265
1899,9,0.899
1899,10,-2.159
1899,11,0.834
1899,12,-0.075
1900,1,2.042
1900,2,0.696
1900,3,2.731
1900,4,-0.761
1900,5,0.932
1900,6,0.988
1900,7,-0.099
1900,8,-1.821
1900,9,-2.445
1900,10,-1.334
1900,11,1.455
1900,12,0.672
1901,1,-0.234
1901,2,-0.177
1901,3,0.960
1901,4,-0.531
1901,5,-0.300
1901,6,-0.696
1901,7,-0.155
1901,8,0.474
1901,9,-2.014
1901,10,0.614
1901,11,1.387
1901,12,0.741
1902,1,-0.501
1902,2,0.504
1902,3,-1.265
1902,4,-0.005
1902,5,-0.920
1902,6,0.585
1902,7,-1.266
1902,8,-0.775
1902,9,0.084
1902,10,-0.870
1902,11,-1.332
1902,12,-0.341
1903,1,0.139
1903,2,-3.656
1903,3,-0.345
1903,4,-0.593
1903,5,0.201
1903,6,0.728
1903,7,-1.866
1903,8,-0.117
1903,9,-0.747
1903,10,0.748
1903,11,1.143
1903,12,0.281
1904,1,-0.397
1904,2,0.104
1904,3,0.120
1904,4,0.551
1904,5,1.443
1904,6,0.787
1904,7,-1.066
1904,8,0.515
1904,9,0.180
1904,10,-0.484
1904,11,1.340
1904,12,0.265
1905,1,1.775
1905,2,0.774
1905,3,1.832
1905,4,0.982
1905,5,-1.685
1905,6,-0.918
1905,7,-0.135
1905,8,-0.019
1905,9,-0.589
1905,10,-0.944
1905,11,-0.570
1905,12,-1.231
1906,1,0.788
1906,2,1.692
1906,3,-0.024
1906,4,0.230
1906,5,-1.185
1906,6,-1.206
1906,7,1.215
1906,8,0.147
1906,9,-0.555
1906,10,0.377
1906,11,-0.808
1906,12,0.645
1907,1,-1.072
1907,2,2.618
1907,3,-0.901
1907,4,1.502
1907,5,-0.701
1907,6,-1.924
1907,7,-1.038
1907,8,-1.232
1907,9,-1.859
1907,10,0.128
1907,11,0.457
1907,12,0.940
1908,1,0.827
1908,2,-1.081
1908,3,0.593
1908,4,1.554
1908,5,-2.136
1908,6,-1.776
1908,7,0.753
1908,8,-0.101
1908,9,-0.789
1908,10,-2.165
1908,11,0.297
1908,12,-1.329
1909,1,1.620
1909,2,-0.976
1909,3,-1.156
1909,4,1.047
1909,5,-1.104
1909,6,-0.292
1909,7,-1.566
1909,8,-0.365
1909,9,-0.811
1909,10,-0.842
1909,11,-0.499
1909,12,-1.931
1910,1,-1.739
1910,2,-1.431
1910,3,2.324
1910,4,2.442
1910,5,1.932
1910,6,-0.751
1910,7,-0.119
1910,8,-0.239
1910,9,-0.695
1910,10,0.116
1910,11,0.207
1910,12,1.184
1911,1,0.538
1911,2,-2.972
1911,3,1.306
1911,4,-0.446
1911,5,-1.723
1911,6,-0.842
1911,7,-0.042
1911,8,-1.104
1911,9,-2.346
1911,10,-1.361
1911,11,-0.510
1911,12,-1.577
1912,1,0.843
1912,2,0.617
1912,3,-1.318
1912,4,-1.855
1912,5,-0.510
1912,6,-0.460
1912,7,-1.918
1912,8,-1.523
1912,9,-1.778
1912,10,-2.571
1912,11,0.029
1912,12,-0.935
1913,1,-2.085
1913,2,-1.377
1913,3,-0.985
1913,4,-0.199
1913,5,-0.051
1913,6,-1.685
1913,7,-1.142
1913,8,0.493
1913,9,0.370
1913,10,-0.204
1913,11,0.176
1913,12,-0.669
1914,1,1.060
1914,2,-0.074
1914,3,2.551
1914,4,0.739
1914,5,0.396
1914,6,-1.057
1914,7,-0.951
1914,8,-0.134
1914,9,-1.400
1914,10,-0.506
1914,11,1.294
1914,12,-2.204
1915,1,-0.401
1915,2,-0.738
1915,3,1.445
1915,4,0.658
1915,5,-1.953
1915,6,-0.607
1915,7,-1.101
1915,8,0.579
1915,9,-1.416
1915,10,0.194
1915,11,-0.576
1915,12,0.020
1916,1,-2.427
1916,2,1.153
1916,3,1.896
1916,4,1.396
1916,5,-1.401
1916,6,-1.096
1916,7,-1.395
1916,8,-1.122
1916,9,-1.099
1916,10,-3.308
1916,11,-1.944
1916,12,-2.205
1917,1,-2.856
1917,2,-1.341
1917,3,-2.450
1917,4,-0.901
1917,5,-2.594
1917,6,0.400
1917,7,1.066
1917,8,0.064
1917,9,-0.034
1917,10,1.375
1917,11,0.936
1917,12,2.029
1918,1,0.645
1918,2,-1.094
1918,3,0.348
1918,4,0.480
1918,5,-1.735
1918,6,2.757
1918,7,-1.197
1918,8,-0.757
1918,9,-0.423
1918,10,0.568
1918,11,-1.158
1918,12,-1.371
1919,1,0.371
1919,2,-1.939
1919,3,-1.287
1919,4,1.000
1919,5,1.102
1919,6,-0.219
1919,7,-0.002
1919,8,0.142
1919,9,-0.914
1919,10,-2.858
1919,11,-1.175
1919,12,-0.574
1920,1,1.276
1920,2,-0.161
1920,3,-1.296
1920,4,-0.764
1920,5,-0.039
1920,6,-0.629
1920,7,-1.125
1920,8,0.241
1920,9,-1.440
1920,10,-2.802
1920,11,-0.860
1920,12,-0.673
1921,1,-0.527
1921,2,0.242
1921,3,1.492
1921,4,-0.456
1921,5,-1.778
1921,6,0.330
1921,7,0.254
1921,8,-0.441
1921,9,-0.991
1921,10,0.556
1921,11,0.919
1921,12,1.189
1922,1,-2.490
1922,2,-2.290
1922,3,-1.706
1922,4,-1.659
1922,5,0.219
1922,6,0.632
1922,7,0.414
1922,8,-0.530
1922,9,1.346
1922,10,-0.970
1922,11,-1.874
1922,12,0.559
1923,1,0.156
1923,2,-1.184
1923,3,0.548
1923,4,-0.542
1923,5,0.236
1923,6,-2.868
1923,7,-0.915
1923,8,-0.626
1923,9,-0.048
1923,10,-1.325
1923,11,1.324
1923,12,-0.624
1924,1,-0.708
1924,2,2.292
1924,3,-1.125
1924,4,0.634
1924,5,2.211
1924,6,0.774
1924,7,-0.853
1924,8,-0.567
1924,9,-0.220
1924,10,-2.221
1924,11,-0.077
1924,12,-1.593
1925,1,0.497
1925,2,1.127
1925,3,0.932
1925,4,0.509
1925,5,0.607
1925,6,-0.003
1925,7,0.404
1925,8,-1.184
1925,9,-2.600
1925,10,-1.627
1925,11,-0.734
1925,12,1.230
1926,1,-0.210
1926,2,1.165
1926,3,2.948
1926,4,2.685
1926,5,0.969
1926,6,1.917
1926,7,0.122
1926,8,-0.193
1926,9,-1.863
1926,10,0.391
1926,11,2.246
1926,12,-0.777
1927,1,0.802
1927,2,0.156
1927,3,-0.331
1927,4,-0.115
1927,5,-0.420
1927,6,-0.213
1927,7,-0.043
1927,8,-0.826
1927,9,-2.055
1927,10,0.020
1927,11,1.012
1927,12,-1.022
1928,1,0.872
1928,2,0.207
1928,3,1.888
1928,4,0.204
1928,5,1.915
1928,6,-0.103
1928,7,-0.387
1928,8,-0.336
1928,9,-0.075
1928,10,-1.012
1928,11,-0.319
1928,12,-1.220
1929,1,-1.263
1929,2,-2.127
1929,3,0.090
1929,4,-1.754
1929,5,0.598
1929,6,-0.547
1929,7,-0.201
1929,8,0.962
1929,9,-0.907
1929,10,0.864
1929,11,0.658
1929,12,2.623
1930,1,-1.356
1930,2,1.780
1930,3,1.082
1930,4,1.627
1930,5,-2.238
1930,6,0.315
1930,7,-0.278
1930,8,-0.262
1930,9,-2.036
1930,10,-0.958
1930,11,0.282
1930,12,-0.731
1931,1,0.644
1931,2,0.711
1931,3,1.760
1931,4,2.270
1931,5,2.653
1931,6,-0.286
1931,7,2.343
1931,8,1.158
1931,9,-1.296
1931,10,-0.489
1931,11,-1.926
1931,12,-1.684
1932,1,-2.021
1932,2,-1.630
1932,3,1.331
1932,4,-0.209
1932,5,-0.082
1932,6,0.281
1932,7,-0.802
1932,8,-0.248
1932,9,0.940
1932,10,-0.491
1932,11,2.057
1932,12,-2.825
1933,1,-2.319
1933,2,-3.265
1933,3,0.311
1933,4,-0.253
1933,5,-2.834
1933,6,-0.663
1933,7,1.130
1933,8,0.646
1933,9,-1.112
1933,10,2.117
1933,11,1.256
1933,12,0.486
1934,1,1.651
1934,2,1.553
1934,3,4.901
1934,4,3.585
